Pulgar extendido,Indice extendido,Corazón extendido,Anular extendido,Meñique extendido,Pulgar contraído,Indice contraído,Corazón contraído,Anular contraído,Meñique contraído,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Perímetro,Area,Redondez,Compacidad,Clase
0,0,0,0,0,0,0,0,0,0,0.26842362395234476,0.040602432392024934,0.0009470634801946618,0.0002737327316712789,1.3541410524151515e-07,5.135311716982752e-05,-3.2983967812427614e-08,2.171391292788889,2.1143104653246803,0.11210696210742403,28.023171750737756,1
1,1,1,1,1,0,0,0,0,0,0.26637764966207,0.029099053943888377,0.0019667999792914548,6.513545202425753e-05,-2.0080235210380118e-08,-7.612059473882357e-06,1.1844844826221885e-08,3.5101274934726168,2.0300248823907014,0.0411903600120006,76.27009457248022,6
0,1,1,1,0,1,0,0,0,1,0.39064646988143914,0.11952218883693996,0.00014516805890412161,2.764722690782546e-05,1.625903550694356e-09,-6.302486385940377e-07,-6.513285392283297e-10,3.6378428849452153,2.7508278599356966,0.05196555214449078,60.45529247634203,4
1,0,0,0,1,0,1,1,1,0,0.26903873761012337,0.025619737519720673,0.008053353816710953,0.000665601113779431,1.371542272469712e-06,8.98546232835956e-05,7.025861385829213e-07,2.8735174303443833,2.4361309733099774,0.07375865190535144,42.59286975067206,2
0,1,1,0,0,1,0,0,1,1,0.2422936804024626,0.021478287095336317,0.001387344814805352,0.0009959262577995363,1.1636311853480288e-06,0.00013306238592664343,-1.2814523271495696e-07,2.536313020016922,1.845755227888802,0.07173125241253982,43.79670712455859,3
0,1,1,1,1,1,0,0,0,0,0.38547767087244955,0.10764125798509534,0.0016731303999818188,0.0001843207112896261,3.8992113378375966e-08,3.176628704606179e-05,9.464133990879621e-08,3.975805755234011,2.781065144519932,0.04398462104545144,71.42479755238617,5
0,1,1,1,0,1,0,0,0,1,0.34903927942540247,0.08296042283548606,0.004266637310546576,0.0007857986262566885,8.633222181483097e-07,9.371379011168741e-05,-1.1510469825980546e-06,3.9119341024868146,2.622241599244745,0.04283804578517634,73.33650721006767,4
0,0,0,0,0,0,0,0,0,0,0.2098244921704508,0.015743740798983073,0.0007883199813073897,0.00014857339282603653,4.918019210744095e-08,1.7669596706072685e-05,1.29110914204727e-08,1.6936927281702268,1.6620507380887521,0.14484884628176878,21.688765456085,1
0,1,1,1,1,1,0,0,0,0,0.3753849234437068,0.10648106946899581,0.000728657458162782,0.00013108001242288935,2.23577686723269e-08,2.3198429424891653e-05,3.3781974945438935e-08,3.734875526119376,2.6057123683847863,0.046699713710368615,67.27220370287353,5
0,1,1,0,0,1,0,0,1,1,0.40406790312229346,0.12924858125989352,0.0006343742879710028,0.0006549919955754332,4.2186826253524097e-07,0.0002287315150843238,-1.6941799250531308e-08,3.7877566993600156,3.738880615879545,0.06515045556014452,48.22057845304841,3
0,1,1,1,0,1,0,0,0,1,0.3178578371866803,0.06141919914878378,0.0013058742984685238,9.710761465225393e-05,-2.0304831299713607e-08,-2.3492652805796187e-05,2.799144898719626e-08,4.231063201947031,2.886790930560714,0.04031403935886175,77.92800482294551,4
1,0,0,0,1,0,1,1,1,0,0.32933140922150583,0.05977639558243092,0.012824866277018017,0.002721005746832055,1.5755863486071956e-05,0.0006324518087730032,3.181548772960859e-06,2.717239135709757,2.085572875872523,0.07061706390109494,44.48772690393719,2
1,1,1,1,1,0,0,0,0,0,0.229648428867863,0.014363777986277134,0.0004318503483840346,4.8207413099532034e-05,-4.867870095593401e-10,5.765310662771735e-06,6.938589836017206e-09,3.5567457851464597,2.0419136211188107,0.04035261871277554,77.85350130436944,6
0,1,1,0,0,1,0,0,1,1,0.33857363005063373,0.08024985379475233,0.0011938627977657506,0.0002988893313360979,1.7848903984319108e-07,8.433842628430254e-05,-4.389282197983249e-09,3.2151174179614608,2.2888896372098237,0.055356826527484505,56.75167546011694,3
0,0,1,1,1,1,1,0,0,0,0.3807321010019619,0.10654161144229117,0.0034926223318462167,0.0005401685879182272,4.7788248774021014e-08,-1.7320142674920323e-05,7.404011219564469e-07,3.5128715564639803,2.686319656599154,0.0544218319936436,57.726697880305224,7
0,1,1,1,0,1,0,0,0,1,0.38780084009270244,0.11574533138407414,7.982321400962218e-06,2.135238654921303e-05,-7.260440533518201e-11,6.873703949144278e-06,2.691413977777535e-10,3.6517957175072193,3.2096163177157235,0.0601700230698883,52.211923700624,4
0,0,0,0,0,0,0,0,0,0,0.29179964240136735,0.048985831348730656,0.00021925089974183048,4.186985760709954e-06,1.0490700954286752e-10,3.4183046625606524e-07,7.132914101357866e-11,2.6891542220469296,2.3611099219178784,0.08162530099141133,38.48797634351576,1
0,0,0,0,0,0,0,0,0,0,0.34779512753806974,0.08597342391926988,0.0005980158362131362,8.115326129944569e-05,-1.1574230049940247e-08,-1.8347528527204948e-05,-1.3625518268073584e-08,2.4816340543475746,2.6492863551899415,0.10754579420847434,29.211673749880994,1
0,1,1,1,1,1,0,0,0,0,0.3328411567157404,0.06881376923669266,0.0050828018649478855,0.0018084184909075564,5.465216301069493e-06,0.00047414238013642455,4.383761439491621e-07,3.809757580570557,2.1525712593814026,0.03707685276111192,84.73191276053653,5
0,1,1,0,0,1,0,0,1,1,0.28110561904208203,0.04499896460125605,0.0005417212503744668,4.757986069571114e-05,-7.63785531217243e-09,-8.774985990493175e-06,1.1735512942349039e-10,2.8552493548532953,2.1634102529564463,0.06634234342428803,47.354261116432795,3
0,1,1,1,0,1,0,0,0,1,0.27157931868378,0.038880006139106756,0.0003929978687215813,0.0005561948256087172,2.534720896911951e-07,0.00010955240974630919,5.80625125458705e-08,3.2794979670428233,1.8479418335671554,0.04295498519977215,73.13685801494485,4
