Angulo pulgar,Angulo indice,Angulo corazón,Angulo anular,Angulo meñique,Ancho pulgar,Ancho indice,Ancho corazón,Ancho anular,Ancho menique,Pulgar extendido,Indice extendido,Corazon extendido,Anular extendido,Menique extendido,Pulgar contraido','Indice contraido','Corazón contraido','Anular contraido,Menique contraído,Numero de dedos','Hu_1','Hu_2','Hu_3','Hu_4','Hu_5','Hu_6',Hu_7,Redondez,Clase
8.742961142608814384e+01,1.424755691629484033e+02,6.155210644239868856e+01,-9.172292565892765026e+01,-6.089520381533350957e+01,3.379809343064000604e+00,5.691606256680337150e-01,-4.042853429771870455e-01,5.142780830152914318e-01,7.258804992228862218e-01,1.764136706764482421e+00,4.082629522038733888e-02,-4.908728072633714024e-01,-1.937225952170020249e-01,9.617688951455177770e-01,-1.187475406854195947e+00,-1.333923647636650264e-02,-2.567151071000359774e-01,2.334090449518140264e-01,9.599539693626731041e-02,3.398842871063528781e-01,-1.991819875824275554e-01,2.810510379616507071e-02,-8.889210754463734709e-02,-4.488961190573900056e-02,1.477681823291741641e-03,3.059415675840456306e-04,-5.739715223912494331e-06,-3.593064396752112291e-06,1.0
7.599038341893459858e+01,3.114698908142034739e+01,7.395756268945088152e+01,1.444126687266742515e+01,2.146912605988069878e+00,4.085891568632331605e+00,4.915438446952532514e-01,9.620017189862052343e-01,-5.447770951335929590e-01,1.621610768945265013e+00,1.014865695290245284e+00,6.943353069416052792e-02,8.637040850402930015e-02,-7.185650449815288443e-01,8.130640397327759672e-01,-1.282136303741820749e+00,-1.416333837158306463e-01,-4.236510558147806305e-01,3.381976226101829353e-01,-1.282524336628064129e-02,3.837412959135655388e-01,-1.496558343965249949e-01,3.876522969881419228e-02,-9.101628209472226172e-02,-4.402283691311742464e-02,1.822883701777836115e-03,2.484631870041199083e-04,-6.556156525859897431e-06,-3.431883896632380552e-06,0.0
5.078593894954743746e+02,3.117943979975106927e+01,-1.873624651801616858e+00,-5.745214283737429639e+01,-2.506538380103624508e+00,4.987183834882952804e-01,-1.815917082465254850e+00,-3.106828285994227556e-01,-5.450661408952316433e-01,2.228864133354957033e+00,1.092713451707439942e+00,-2.044323951310239029e-01,-6.851883722017110268e-01,-5.344693467034331569e-01,7.637418143323958519e-01,-1.207947212091452949e+00,1.003609398739680469e-01,-4.264057585647804682e-01,1.107730206710298287e-01,1.640726633697142667e-01,4.822718408360839315e-01,-2.314403808476179492e-01,2.920721667701353316e-02,-9.593364316259234137e-02,-4.143456921760847039e-02,2.115125131995356737e-03,3.491325306623433767e-04,-7.837066122653940385e-06,-3.299029494508255065e-06,1.0
4.782731449092396758e+01,9.117496801277621898e+01,3.638617719033860709e+01,-7.706985196645010205e+01,2.507965082226071840e-01,2.807187902165322324e+00,-2.177263419239738873e-01,5.921933361617347513e-01,-4.683177151092358659e-01,9.606464747866211296e-01,5.575039084976280979e-01,-3.669584611504373983e-01,-8.698416738265271064e-01,-5.491902127130172673e-01,9.771603773994536057e-01,-1.021115886731665201e+00,-2.371375931280494120e-01,-3.974571929079140364e-01,4.128011129067581109e-02,3.237460161108244860e-01,4.025152296044349765e-01,-1.663792692390788641e-01,4.308978696928660035e-02,-9.405575781215240461e-02,-4.758117003681174018e-02,1.494582481096245032e-03,3.515145748757220949e-04,-4.128686130152993888e-06,-3.876309886795630882e-06,0.0
4.333963950410564081e+01,9.511711761218130334e+01,2.368354207787715637e+01,-8.150110855925987607e+01,5.320388323243045114e+00,2.574726635361490157e+00,1.130903911427065950e-01,8.918798793821244297e-01,-7.611948184672983064e-01,1.097151624539960846e+00,7.109416718630763299e-01,-3.764528273155781646e-01,-8.503507374239019923e-01,-4.228581436664707871e-01,5.993020103873456517e-01,-9.103101454555787564e-01,-3.220036449141128743e-01,-3.402119384246156120e-01,2.122564832834540338e-01,6.859206615344959346e-02,4.011066737650045289e-01,-2.806749932359599020e-01,6.501571420044251204e-02,-1.018759494347233341e-01,-4.838717051892565957e-02,1.833977259918034017e-03,2.757206682366978245e-04,-7.193955438372456051e-06,-3.503277054597231041e-06,0.0
7.813712268393413751e+01,8.184627861514961467e+01,1.061156858328644716e+02,-5.956491387734086373e+01,-3.412825645790469764e+01,3.061114894712892553e+00,-5.119878115307067157e-01,4.170609126997978366e-01,-6.221779279445839306e-01,1.256100125665411182e+00,1.895307183545145158e-01,-4.209695463532911464e-01,-7.568928292385378453e-01,-2.375951512856928627e-01,9.121785983644948859e-01,-1.233253491706138849e+00,-6.424193961783136730e-02,-2.160686738541955643e-01,9.364278460002391224e-02,7.183672423886858227e-02,4.334449311224699009e-01,-1.508717570257438190e-01,3.548262797946126479e-02,-9.200894020827733721e-02,-4.341589623327552633e-02,1.994486866017193896e-03,2.749866672997950236e-04,-9.981892542379829412e-06,-3.789964356347430055e-06,1.0
4.113037254242782126e+01,3.961092384717370862e+01,5.605732233394211761e+01,-2.542356849217803827e+01,-2.460635415903836432e+01,2.233561036511254372e+00,1.254321610369003803e+00,1.236278991256239967e+00,-1.071612317868612996e+00,1.953619154667988411e+00,1.237092076794391371e+00,-3.720616317055578381e-01,-1.041615253070616864e+00,-2.252183713287703726e-01,1.207109517749114680e+00,-1.305201463970908859e+00,-2.787697604243358773e-01,-3.356712406231107115e-01,1.517315556971551571e-01,1.308351870538492223e-01,3.463943479452085139e-01,-2.305567776244143441e-01,2.585503996040139363e-02,-9.099707242956663056e-02,-4.225702175361605722e-02,2.441395971379308871e-03,1.971706798604992076e-04,-1.077264961354267397e-05,-4.884202549982824613e-06,1.0
1.691641011893320297e+02,-2.594666291936054137e+01,5.194459253152350442e+01,-4.736529185962651667e+01,5.546872351155295533e+00,4.170961922201778194e+00,2.246153629320765954e-01,1.183163310600685358e+00,6.777088562423574380e-01,1.548088098113324707e+00,2.410141936026604370e-01,-6.958116861077416615e-02,-8.163300355724972812e-01,-1.631864646352018111e-01,7.849291830979233664e-01,-1.182934750356655851e+00,1.525465934665746481e-01,-3.275722242394843442e-01,9.570850531911130610e-02,1.837183245447587820e-01,3.123503725099424644e-01,-2.079006746345416767e-01,3.872182814615218738e-02,-9.929946233453953996e-02,-4.502091432368838381e-02,2.294211190881628639e-03,3.108422096925033003e-04,-6.854809396539791851e-06,-3.562636485704670947e-06,0.0
5.572176417645889046e+01,1.152453151754098570e+02,2.462025646396892142e+01,-8.539849320862981585e+01,-2.085892051878767006e+01,3.041480403679977851e+00,7.426177920574452695e-01,7.755711822460424620e-02,1.938838664111826593e-01,8.479892666719027750e-01,1.835821324173888769e+00,-6.864270053362050428e-01,-7.335847099766619195e-01,-3.370950981304287608e-01,9.617230145732094115e-01,-1.012514813619533882e+00,1.972540805691056776e-01,-4.855429154957932036e-01,6.101228535493093130e-02,1.427217326163485456e-01,3.937668555507977119e-01,-2.430153153853205628e-01,5.336637039408741179e-02,-9.865692406646328627e-02,-4.698469917723714639e-02,1.571504554190814810e-03,2.791799285352814376e-04,-8.979427260252561665e-06,-5.035553007448288811e-06,1.0
3.682481362069166835e+02,3.231311506887179803e+02,1.886301288737256954e+01,6.464446550206361053e+01,-1.919209656653625018e+01,2.256541352329822558e+00,-8.014026704320450500e-01,6.872551715445130993e-01,-2.712925695373290536e-01,1.254965943755952829e+00,9.707415648814512465e-01,1.378618558245234826e-01,-1.076792882489807868e+00,-2.075864318857918167e-01,8.580322569761182905e-01,-1.053188770690244969e+00,-6.715490869171785934e-03,-1.959786072904746712e-01,-2.362652036464376118e-02,1.982131007062798156e-01,3.491198966666947956e-01,-9.021439299822721358e-02,4.798012594865369573e-02,-9.052478504750119392e-02,-4.667784979522183325e-02,1.969790047255564388e-03,2.095146115224509771e-04,-6.786871947931171449e-06,-4.892263193469252378e-06,1.0
